Phenotype,Ancestry,PMID,#Variants,#Variants (post LD expansion),GWAS catalog?
Activated_partial_thromboplastin_time,EU,"20303064,22703881,",6,159,yes
Acute_lymphoblastic_leukemia_B-cell_precursor,EU,"23996088,",5,64,yes
Acute_lymphoblastic_leukemia_childhood,EU,"19684603,19684604,22076464,23512250,",5,66,yes
Adiponectin_levels,AS,"20887962,21771975,22065538,24105470,",5,63,yes
Adiponectin_levels,EU,"19165155,20011104,20018283,21700879,22479202,",13,355,yes
Adiposity,EU,"19557161,21706003,23505185,",4,285,yes
Age-related_hearing_impairment_interaction,EU,"24939585,",51,1557,yes
Age-related_macular_degeneration,EU,"15761122,20385819,20861866,21665990,22694956,23326517,23455636,23577725,",18,331,yes
Age-related_macular_degeneration_CNV,EU,"22705344,",5,148,yes
Allergic_sensitization,EU,"23817571,",10,172,yes
Alzheimer_disease,EU,"17998437,18823527,18976728,19118814,19125160,19136949,19734902,19734903,20061627,20452100,21460840,21627779,22430674,22832961,23150908,24755620,",9,150,yes
Alzheimer_disease_biomarkers,EU,"21123754,23419831,23562540,",5,127,yes
Alzheimer_disease_cognitive_decline,EU,"23535033,",14,57,yes
Alzheimer_disease_late_onset,EU,"17474819,21379329,21390209,21460841,24162737,",20,1172,yes
Amyotrophic_lateral_sclerosis,EU,"17362836,17827064,18084291,18987618,19734901,20801717,20801718,22470424,22959728,",4,80,yes
Amyotrophic_lateral_sclerosis_sporadic,AS,"24529757,",9,460,yes
ANCA-associated_vasculitis,EU,"26492816,",30,1162,no
Ankylosing_spondylitis,EU,"23749187,24316577,",24,563,no
Asthma,AS,"21804548,21814517,",6,180,yes
Asthma,EU,"17611496,19426955,20032318,20159242,21150878,21804549,21907864,22538805,22561531,23028483,23181788,",10,413,yes
Asthma_and_hay_fever,EU,"24388013,",9,398,yes
Asthma_childhood_onset,EU,"22560479,23829686,",5,368,yes
Atopic_dermatitis,AS,"21666691,23042114,",10,570,yes
Atopic_dermatitis,EU,"19349984,22197932,23886662,",6,88,yes
Atrial_fibrillation,EU,"19597491,20173747,22544366,",9,301,yes
Axial_length,EU,"24144296,",5,91,yes
Basal_cell_carcinoma,EU,"18849993,19151717,21700618,21946351,24403052,",11,360,yes
Behcets_disease,EU,"26492816,",16,392,yes
Behcets_disease,AS,"20622879,23001997,",5,61,no
Bilirubin_levels,AS,"20639394,23371916,",5,134,yes
Bipolar_disorder,EU,"17486107,17554300,18711365,19416921,19488044,21254220,21353194,21926972,22182935,22205951,22688191,22925353,24618891,",15,309,yes
Birth_weight,EU,"20372150,23202124,24950379,",8,107,yes
Bladder_cancer,EU,"19648920,20972438,21750109,21824976,24163127,",12,1251,yes
Blood_metabolite_levels,EU,"24816252,",114,3458,yes
Blood_metabolite_ratios,EU,"24816252,",50,1805,yes
Blood_pressure,AA,"23972371,",5,274,yes
Blood_pressure,AS,"21572416,22763476,24001895,",9,319,yes
Blood_pressure,EU,"21909110,24954895,",29,1102,yes
Body_mass_index,AA,"21701570,23583978,",6,117,yes
Body_mass_index,AS,"22344219,22344221,24827717,24861553,",19,917,yes
Body_mass_index,EU,"17434869,17903300,18454148,19079260,19079261,19851299,20397748,20935630,22446040,22982992,23563607,23669352,24064335,24348519,",33,1288,yes
Bone_mineral_density,AS,"20096396,22504420,",55,5310,yes
Bone_mineral_density,EU,"18455228,19249006,19874204,21124946,21533022,22792070,22792071,23437003,23572186,23644456,24249740,",20,341,yes
Bone_mineral_density_paediatric_lower_limb,EU,"24945404,",5,74,yes
Bone_mineral_density_paediatric_skull,EU,"24945404,",8,186,yes
Bone_mineral_density_paediatric_total_body_less_head,EU,"24945404,",7,190,yes
Bone_mineral_density_paediatric_upper_limb,EU,"24945404,",5,208,yes
Bone_properties_heel,AS,"24430505,",7,374,yes
Brain_connectivity,EU,"23471985,",9,292,yes
Breast_cancer,AS,"19219042,20585626,21908515,22383897,22452962,22951594,24143190,",6,120,yes
Breast_cancer,EU,"17529973,17529974,18463975,19330030,20453838,20852631,20872241,21263130,21424380,22037553,22976474,23535729,23535733,",61,1592,yes
Breast_cancer_early_onset,EU,"24493630,",6,193,yes
Breast_size,EU,"22747683,",6,259,yes
Calcium_levels,EU,"20661308,20705733,24068962,",8,392,yes
Celiac_disease,EU,"17558408,18311140,20190752,23936387,24999842,",27,925,yes
Central_corneal_thickness,EU,"20485516,20719862,22814818,",5,125,yes
